route_id,route_name,route_ref,sign_type,sign_num,routeid_state,nn,state_fips,state,county_fips,fclass,aadt,aadt_com,through_lanes,geom,source_id,run_id,ingested_at,observed_at,confidence,conf_trust,conf_fresh,conf_complete,conf_agree,flags,props
1,EAST-WEST TOLLRD,I 80,I,80,12000000805000001,1,18,IN,18039,1,24012,8669,4,"MULTILINESTRING((-85.9921029999755 41.731578999799,-85.9912740004953 41.7315199996802,-85.9868950000478 41.7313069997436,-85.9868670004587 41.731305999522,-85.9836559994251 41.731204999845,-85.9814410000728 41.7311220000314))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 1, ""NN"": 1, ""AADT"": 24012, ""YEAR"": 2018, ""LNAME"": ""EAST-WEST TOLLRD"", ""SIGN1"": ""I80"", ""CTFIPS"": 39, ""FCLASS"": 1, ""SIGNN1"": ""80"", ""SIGNT1"": ""I"", ""STFIPS"": 18, ""ROUTEID"": ""12000000805000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 8669, ""ENDPOINT"": 4.19500017, ""FUT_AADT"": 29295, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376728, ""FACILITYT"": 2, ""OWNERSHIP"": 31, ""URBANCODE"": 26794, ""AADT_SINGL"": 771, ""BEGINPOINT"": 3.64299989, ""THROUGH_LA"": 4, ""Shape__Length"": 0.010672434435390472}"
2,U 150,U 150,U,150,22200001500000001,1,18,IN,18043,4,13442,203,2,"MULTILINESTRING((-85.9909790000442 38.3741340004008,-85.9907319992737 38.3740480001721,-85.9904850002998 38.3739629998867,-85.9902380004276 38.3738770001591,-85.989990999657 38.3737919996727,-85.9897320000893 38.3737020002503,-85.9894729996232 38.3736130000619,-85.9892149998803 38.3735230004169,-85.9889560003126 38.3734339993041,-85.9886980005697 38.3733440001407,-85.9884290000579 38.3732509999954,-85.9881589997211 38.3731580004349,-85.9878900001076 38.3730550001764,-85.987622000319 38.3729519997713,-85.9873529998072 38.3728489999238,-85.9871119997828 38.3727569999087,-85.9868709997583 38.3726649997767,-85.9866310004571 38.3725730002319,-85.9863899995344 38.3724809998658,-85.9861359999895 38.3723839997513,-85.9858809997214 38.3722869995068,-85.9856600006867 38.3721950001857,-85.9854389998555 38.3721019999723,-85.9852179999226 38.3720099997118,-85.9849269996694 38.3718910001581,-85.9846349995914 38.3717710003331,-85.9843440002365 38.3716520003864,-85.9840529999834 38.3715320001651,-85.9837609999054 38.3714129998254,-85.9835240000789 38.3713120000642,-85.9832869993541 38.3712100007829,-85.9830489997027 38.371109000034,-85.9828120007746 38.3710069997622,-85.9825219994481 38.3708890000556,-85.9822310000932 38.3707710001566,-85.981940999665 38.370651999974,-85.9816499994119 38.3705339996886,-85.981359999882 38.3704149998205,-85.9810689996288 38.3702969998529,-85.9807790000989 38.3701779995951,-85.980489000569 38.3700599992411,-85.980193000293 38.3699339999994,-85.979897000017 38.3698089999369,-85.979600999741 38.3696830002583,-85.979304999465 38.369556999656,-85.9790100008105 38.3694320003509,-85.9787140005345 38.3693060000159,-85.9784180002585 38.3691800001658,-85.9781219999824 38.3690540000963,-85.9778269995314 38.3689289999224,-85.9775309992554 38.3688030001202,-85.9772369995275 38.3686789996312,-85.9769430006979 38.3685560004584,-85.976650000795 38.3684320002505,-85.9763560001688 38.3683089999536,-85.9760620004409 38.3681850000268,-85.975769000538 38.3680620000144,-85.9754749999118 38.3679379996644,-85.9752650007478 38.3678639999677,-85.9750549997872 38.367791000326,-85.9748449997249 38.367717000479,-85.9745380004766 38.3676439999848,-85.9743319997139 38.3675930002422,-85.9741259998496 38.3675430005978,-85.9738070000074 38.367472999629,-85.9736179998615 38.3674509994715,-85.9734290006139 38.3674289993074,-85.9732260002243 38.3674050002731,-85.9730230007331 38.3673809998224,-85.9728029997267 38.367366000593,-85.9725829996187 38.367350999952,-85.9722810003932 38.3673529995211,-85.9719790002694 38.3673539996578,-85.9716540005794 38.3673640003199,-85.9713289999911 38.367373999572,-85.9710140003468 38.367383000095,-85.9706990007025 38.3673919999125,-85.97038400016 38.3674019998651,-85.9700700003406 38.3674109996803,-85.969754999798 38.3674210003345,-85.9694400001538 38.367429999443,-85.9691459995276 38.3674400000946,-85.9688509999748 38.3674500000404,-85.9685570002469 38.3674610001202,-85.968263000519 38.3674710000631,-85.9679680000679 38.3674810000047,-85.9676740003401 38.367490999945,-85.9673799997139 38.3675010005881,-85.96713300074 38.3675099996867,-85.9668869997944 38.3675180000584,-85.9666399999222 38.3675269998592,-85.9664409997306 38.367522000596,-85.966240999714 38.3675169999239,-85.9660349998497 38.3675040002878,-85.9658289999854 38.367490999945,-85.965627000319 38.3674610001202,-85.9654239999294 38.3674309995787,-85.965214999692 38.3673800003903,-85.965006000353 38.3673290004618,-85.9648010003136 38.3672690006654,-85.9645970000991 38.3672090001151,-85.9644269993214 38.3671320006624,-85.9642570003404 38.3670550004235,-85.9640020000723 38.3669199995965,-85.9637439994311 38.366748999643,-85.9635209998484 38.3665650001851,-85.9632979993673 38.3663819997052,-85.9630750006828 38.3661980007229,-85.9628530000267 38.3660139998642,-85.9626299995456 38.3658299999464,-85.9624069999629 38.3656470004255,-85.9622920003351 38.3655460003647))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 2, ""NN"": 1, ""AADT"": 13442, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U150"", ""CTFIPS"": 43, ""FCLASS"": 4, ""SIGNN1"": ""150"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""22200001500000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 203, ""ENDPOINT"": 4.13100004, ""FUT_AADT"": 15862, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376729, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 387, ""BEGINPOINT"": 2.41499996, ""THROUGH_LA"": 2, ""Shape__Length"": 0.030546525147956027}"
3,U 35,U 35,U,35,23400000350000001,1,18,IN,18067,3,8313,566,2,"MULTILINESTRING((-85.9769379997768 40.4779199998657,-85.9783489997632 40.4779100003199,-85.9814899995783 40.4778789999418,-85.9908090001649 40.477795000653,-85.9924009999013 40.477795000653,-85.9934400003421 40.4777809996225,-85.994723000282 40.4778019998006,-85.9950140005351 40.4778039998498,-85.995256999311 40.4778330002142,-85.9965200000578 40.4778530006938,-85.9999660003697 40.477811000363,-86.0068829993114 40.4777550003365,-86.0128640004394 40.4776950001588))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 3, ""NN"": 1, ""AADT"": 8313, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U35"", ""CTFIPS"": 67, ""FCLASS"": 3, ""SIGNN1"": ""35"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""23400000350000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 566, ""ENDPOINT"": 7.89099979, ""FUT_AADT"": 9809, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376730, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 303, ""BEGINPOINT"": 5.99900007, ""THROUGH_LA"": 2, ""Shape__Length"": 0.03592950700943535}"
4,I 465,I 465,I,465,14900004650000001,1,18,IN,18097,1,127777,10956,7,"MULTILINESTRING((-86.2759180001597 39.8418600000349,-86.2759610007157 39.8441420004216,-86.276044999483 39.8479929997105))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 4, ""NN"": 1, ""AADT"": 127777, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""I465"", ""CTFIPS"": 97, ""FCLASS"": 1, ""SIGNN1"": ""465"", ""SIGNT1"": ""I"", ""STFIPS"": 18, ""ROUTEID"": ""14900004650000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 10956, ""ENDPOINT"": 18.71899986, ""FUT_AADT"": 155888, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376731, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 4460, ""BEGINPOINT"": 18.29599953, ""THROUGH_LA"": 7, ""Shape__Length"": 0.006134320767093693}"
5,S 32,S 32,S,32,92900000320000001,1,18,IN,18057,4,9137,142,2,"MULTILINESTRING((-85.985414999566 40.0452480007286,-85.9853350000984 40.0452299996687,-85.9823479993708 40.0445400003895,-85.9818300002352 40.0444219998474,-85.981367000453 40.0443169994322,-85.9803039997228 40.0441459999032,-85.9800340002843 40.0440970002647,-85.9792350000431 40.0439749999453,-85.9787760004588 40.0438980002063,-85.978542000107 40.0438600002673))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 5, ""NN"": 1, ""AADT"": 9137, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S32"", ""CTFIPS"": 57, ""FCLASS"": 4, ""SIGNN1"": ""32"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""92900000320000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 142, ""ENDPOINT"": 14.00899982, ""FUT_AADT"": 16812, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376732, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 264, ""BEGINPOINT"": 13.63199997, ""THROUGH_LA"": 2, ""Shape__Length"": 0.00701550229980624}"
6,I 65,I 65,I,65,14100000650000001,1,18,IN,18081,1,50090,14528,4,"MULTILINESTRING((-85.9527940005467 39.4083759997283,-85.9528150004631 39.408391000076,-85.9540670004409 39.4093550002431,-85.9557629999344 39.4106509996251,-85.9586310008363 39.4128329995126,-85.9618069999132 39.4152579996848,-85.962578999492 39.4158749999745,-85.9633290002277 39.4165090004359,-85.9638619994319 39.4169840002752,-85.9643350001582 39.417418999758,-85.9647930008159 39.4178570000746,-85.9651230005288 39.4181769993647,-85.965619999748 39.4186890001699,-85.9667360001816 39.4198859999083,-85.9671989999639 39.4203819994278,-85.968556000422 39.4218380000152,-85.9694480005497 39.4227950005454,-85.9714240004256 39.4249150004376,-85.9727979997038 39.4263859999514,-85.9748280000065 39.4285689998625,-85.9760359996033 39.4298690001963,-85.9773799996426 39.4313090002318,-85.9778580003918 39.431818999974,-85.9786960000928 39.4327200002247,-85.9803759996928 39.4345279998773,-85.9813449998133 39.4355610003516,-85.9834639998044 39.4378329998067,-85.9851959992829 39.4396859995504,-85.9856249996283 39.4401479999562,-85.9864819995959 39.441068000434,-85.9877869992771 39.4424759993884,-85.9878649999932 39.4425569998962,-85.987951000207 39.4426450000841,-85.9890979997045 39.4438779997121,-85.9904730006042 39.4453509997991,-85.9909539999298 39.4458729997565,-85.9917780002854 39.4467520002117,-85.9931499999138 39.4482229999855,-85.9946090004791 39.4497999999385,-85.9949330003443 39.4501650000404,-85.9951019995003 39.4503620002734,-85.9954470001801 39.4507720002529,-85.9959120005106 39.4513560000849,-85.9963260007873 39.4518859998853,-85.9967389994426 39.4524520002298,-85.9970909997951 39.4529580003801,-85.9973259999717 39.4532989996738,-85.9975669999962 39.4536729999321,-85.9980280001286 39.4543779998965,-85.9981329997106 39.4545400001813,-85.998269000153 39.4547519999073,-85.9992139999842 39.456206999979,-86.0002249999375 39.4577629998153,-86.0011539998751 39.4591960000665,-86.0021560005059 39.4607399998087,-86.0031859998276 39.4623250005536,-86.0039379993148 39.4634880002103,-86.0049660007833 39.4650679998869,-86.0066040005504 39.4675919997694,-86.0069589994794 39.4681399993603))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 6, ""NN"": 1, ""AADT"": 50090, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""I65"", ""CTFIPS"": 81, ""FCLASS"": 1, ""SIGNN1"": ""65"", ""SIGNT1"": ""I"", ""STFIPS"": 18, ""ROUTEID"": ""14100000650000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 14528, ""ENDPOINT"": 5.06400013, ""FUT_AADT"": 57103, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376733, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 2007, ""BEGINPOINT"": 0, ""THROUGH_LA"": 4, ""Shape__Length"": 0.08112452208858591}"
7,U 24,U 24,U,24,25200000240000001,1,18,IN,18103,2,9876,1961,4,"MULTILINESTRING((-85.9874299998001 40.807772000226,-85.980489000569 40.8078819995653,-85.9707759997971 40.8079920000821,-85.9612250003053 40.8081059998072,-85.9611969998179 40.8081069999948,-85.9568280003144 40.8081609999027,-85.951386000035 40.8082290003287,-85.9472700002515 40.8082860000122,-85.9461789999322 40.8082579995893,-85.9453010000483 40.8082100001967,-85.9443860003544 40.8081470000064,-85.9419560000187 40.8078770006501))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 7, ""NN"": 1, ""AADT"": 9876, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U24"", ""CTFIPS"": 103, ""FCLASS"": 2, ""SIGNN1"": ""24"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""25200000240000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 1961, ""ENDPOINT"": 12.84000015, ""FUT_AADT"": 11259, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376734, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 566, ""BEGINPOINT"": 10.45400047, ""THROUGH_LA"": 4, ""Shape__Length"": 0.04549613611055401}"
8,U 36,U 36,U,36,24900000360000002,1,18,IN,18097,4,30506,3171,2,"MULTILINESTRING((-86.0102270004144 39.8444580000286,-86.0078609996528 39.845541999799,-86.0046229997533 39.8470860004039,-86.0023990001802 39.8482309999109))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 8, ""NN"": 1, ""AADT"": 30506, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U36"", ""CTFIPS"": 97, ""FCLASS"": 4, ""SIGNN1"": ""36"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""24900000360000002"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 3171, ""ENDPOINT"": 2.25900006, ""FUT_AADT"": 33557, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376735, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 922, ""BEGINPOINT"": 1.76900005, ""THROUGH_LA"": 2, ""Shape__Length"": 0.008691221358185506}"
9,U 36,U 36,U,36,24900000360000002,1,18,IN,18097,4,33767,3510,2,"MULTILINESTRING((-85.9866439999776 39.8558369997058,-85.98446899991 39.8568489997356,-85.9810109999025 39.8584859998764,-85.9784719997868 39.8597209997439,-85.9744329999963 39.8616459997711))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 9, ""NN"": 1, ""AADT"": 33767, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U36"", ""CTFIPS"": 97, ""FCLASS"": 4, ""SIGNN1"": ""36"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""24900000360000002"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 3510, ""ENDPOINT"": 4.01000023, ""FUT_AADT"": 37144, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376736, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 1020, ""BEGINPOINT"": 3.24799991, ""THROUGH_LA"": 2, ""Shape__Length"": 0.013522516959408253}"
10,U 6,U 6,U,6,22000000060000001,1,18,IN,18039,3,11382,179,2,"MULTILINESTRING((-85.9858880002924 41.4426489997763,-85.9827490001271 41.442675000181))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 10, ""NN"": 1, ""AADT"": 11382, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U6"", ""CTFIPS"": 39, ""FCLASS"": 3, ""SIGNN1"": ""6"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""22000000060000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 179, ""ENDPOINT"": 3.97799993, ""FUT_AADT"": 13431, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376737, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99998, ""AADT_SINGL"": 604, ""BEGINPOINT"": 3.81500006, ""THROUGH_LA"": 2, ""Shape__Length"": 0.003139107844380409}"
11,S 37,S 37,S,37,92900000370000001,1,18,IN,18057,3,12431,507,4,"MULTILINESTRING((-85.9904330004212 40.0656319997649,-85.9901780001531 40.0667599993603,-85.9899530000222 40.0673299999579,-85.989674000363 40.0679539995504,-85.9893859995846 40.0685420001887,-85.9890369996051 40.0690839996813,-85.988211000498 40.0701669999369,-85.9878040007922 40.0706090001903,-85.9864489999839 40.071787000456,-85.9854170001142 40.0724710004409,-85.9836120008408 40.0735370001811,-85.9825160004986 40.0741799997395))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 11, ""NN"": 1, ""AADT"": 12431, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S37"", ""CTFIPS"": 57, ""FCLASS"": 3, ""SIGNN1"": ""37"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""92900000370000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 507, ""ENDPOINT"": 8.94699955, ""FUT_AADT"": 13674, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376738, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 968, ""BEGINPOINT"": 8.19799995, ""THROUGH_LA"": 4, ""Shape__Length"": 0.012115608471547005}"
12,S 28,S 28,S,28,98000000280000001,1,18,IN,18159,3,4840,471,2,"MULTILINESTRING((-85.9838149994337 40.2833440004462,-85.981912000251 40.2833340000743))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 12, ""NN"": 1, ""AADT"": 4840, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S28"", ""CTFIPS"": 159, ""FCLASS"": 3, ""SIGNN1"": ""28"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""98000000280000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 471, ""ENDPOINT"": 13.45100021, ""FUT_AADT"": 5711, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376739, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 159, ""BEGINPOINT"": 13.35099983, ""THROUGH_LA"": 2, ""Shape__Length"": 0.0019030254588061253}"
13,I 69,I 69,I,69,12900000690000001,1,18,IN,18057,1,77768,7072,4,"MULTILINESTRING((-85.9932810003334 39.9672810006043,-85.9856819995297 39.9681029997291,-85.9800960002086 39.9687340002546,-85.9759350002193 39.9691929993242,-85.9751339994299 39.9692620001732,-85.9743149999955 39.9693680007632,-85.973745999908 39.9694529998056,-85.9731869998663 39.9695600004262,-85.9726189996037 39.9696769999994,-85.9720210001022 39.9698520001994,-85.9712829999603 39.9700799996737,-85.9704789996962 39.9704150004235,-85.9695339998651 39.9708570001871,-85.9663589997148 39.9723829997754,-85.9632890000448 39.9738549999439,-85.9604980000341 39.9751950003164,-85.9564910000305 39.9771189998556,-85.9531870000088 39.9787200000935,-85.9506010000375 39.979939999847,-85.9482219997554 39.9810989998812,-85.9448790002739 39.9827390002075,-85.9424970005171 39.9838449995496,-85.9424630001819 39.9838609993652,-85.9405419996592 39.9847769995928,-85.9379380001445 39.9860099996915,-85.9352969999216 39.9872830002015,-85.9334369994982 39.988090999572))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 13, ""NN"": 1, ""AADT"": 77768, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""I69"", ""CTFIPS"": 57, ""FCLASS"": 1, ""SIGNN1"": ""69"", ""SIGNT1"": ""I"", ""STFIPS"": 18, ""ROUTEID"": ""12900000690000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 7072, ""ENDPOINT"": 7.03200006, ""FUT_AADT"": 94877, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376740, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 8233, ""BEGINPOINT"": 3.4849999, ""THROUGH_LA"": 4, ""Shape__Length"": 0.06411698331789073}"
14,S 3,S 3,S,3,93300000030000001,1,18,IN,18065,3,7576,536,2,"MULTILINESTRING((-85.4295199998762 39.8395529998902,-85.4294969994117 39.8395669993331,-85.4286219999008 39.8401009997992,-85.4281879995325 39.8404099997456,-85.4277730003291 39.8407109999369,-85.4272810002345 39.8411410003849,-85.4251730001141 39.8429279997773,-85.4232039999108 39.8445950006307,-85.4214580001886 39.8460690002624))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 14, ""NN"": 1, ""AADT"": 7576, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S3"", ""CTFIPS"": 65, ""FCLASS"": 3, ""SIGNN1"": ""3"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""93300000030000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 536, ""ENDPOINT"": 4.30200005, ""FUT_AADT"": 8940, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376741, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 396, ""BEGINPOINT"": 3.68000007, ""THROUGH_LA"": 2, ""Shape__Length"": 0.01037926028195551}"
15,S 109,S 109,S,109,93300001090000001,1,18,IN,18065,4,8667,2165,2,"MULTILINESTRING((-85.5571230000227 39.8420800007048,-85.5582119997939 39.8429639995257,-85.5617189993068 39.8458909999458,-85.5660780005612 39.849580000178,-85.5689959998952 39.852052999522,-85.5690119997888 39.8520669998646))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 15, ""NN"": 1, ""AADT"": 8667, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""S109"", ""CTFIPS"": 65, ""FCLASS"": 4, ""SIGNN1"": ""109"", ""SIGNT1"": ""S"", ""STFIPS"": 18, ""ROUTEID"": ""93300001090000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 2165, ""ENDPOINT"": 4.69199991, ""FUT_AADT"": 10227, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376742, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99999, ""AADT_SINGL"": 278, ""BEGINPOINT"": 3.75699997, ""THROUGH_LA"": 2, ""Shape__Length"": 0.01552732411112813}"
16,U 27,U 27,U,27,28900000270000001,1,18,IN,18177,3,20572,352,4,"MULTILINESTRING((-84.8889440003709 39.843565999649,-84.8889419998227 39.8436680000086,-84.88893500015 39.8442079994687,-84.8889190002565 39.8447399995455,-84.8888999999899 39.8453469996362,-84.8888799998984 39.8469189998276,-84.8888549997841 39.8483419998121))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 16, ""NN"": 1, ""AADT"": 20572, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U27"", ""CTFIPS"": 177, ""FCLASS"": 3, ""SIGNN1"": ""27"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""28900000270000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 352, ""ENDPOINT"": 9.10499954, ""FUT_AADT"": 22629, ""FUT_YEAR"": 2114380800000, ""OBJECTID"": 376743, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 99998, ""AADT_SINGL"": 417, ""BEGINPOINT"": 8.77600002, ""THROUGH_LA"": 4, ""Shape__Length"": 0.004776949801407428}"
17,U 52,U 52,U,52,24900000520000001,1,18,IN,18097,4,16291,1693,2,"MULTILINESTRING((-85.9842079997941 39.7405930006612,-85.983919999914 39.7405270002114,-85.9819150006241 39.7400770000437,-85.9806270006613 39.7398140002599,-85.9794140001432 39.7395780001721,-85.9788240001393 39.7394740003101,-85.9774609998335 39.7392589998519))",ntad_national_network,1334,2026-07-23 18:01:40.633298+00,2018-01-01 00:00:00+00,,,,,,{},"{""ID"": 17, ""NN"": 1, ""AADT"": 16291, ""YEAR"": 2018, ""LNAME"": "" "", ""SIGN1"": ""U52"", ""CTFIPS"": 97, ""FCLASS"": 4, ""SIGNN1"": ""52"", ""SIGNT1"": ""U"", ""STFIPS"": 18, ""ROUTEID"": ""24900000520000001"", ""VERSION"": ""2020.01.10"", ""AADT_COM"": 1693, ""ENDPOINT"": 3.21000004, ""FUT_AADT"": 17920, ""FUT_YEAR"": -2209161600000, ""OBJECTID"": 376744, ""FACILITYT"": 2, ""OWNERSHIP"": 1, ""URBANCODE"": 41212, ""AADT_SINGL"": 492, ""BEGINPOINT"": 2.83899999, ""THROUGH_LA"": 2, ""Shape__Length"": 0.006879614911810114}"
